Proyecto;Tipo;Capacidad;Departamento;Municipio;Código Departamento;Código Municipio;Fecha estimada FPO;Energía [kWh/día];Usuarios;Inversión estimada [COP];Empleos estimados;Emisiones CO2 [Ton/año]
JEPIRACHI;Eólico;18.42;LA GUAJIRA;URIBIA;44;44847;2004-04-27T00:00:00.000;176.832;30,665; 79.206.000.000 ;51;51,635
AUTOG CELSIA SOLAR YUMBO;Solar;9.8;VALLE DEL CAUCA;YUMBO;76;76892;2017-03-09T00:00:00.000;47.04;8,157; 42.140.000.000,00 ;68;13,736
CELSIA SOLAR BOLIVAR;Solar;8.06;BOLÍVAR;SANTA ROSA;13;13683;2019-02-01T00:00:00.000;38.688;6,709; 34.658.000.000,00 ;56;11,297
EL PASO SOLAR (ENEL GREEN POWER);Solar;67;CESAR;EL PASO;20;20250;2019-04-05T00:00:00.000;321.6;55,769; 288.100.000.000,00 ;466;93,907
SOLAR CASTILLA ECP;Solar;20;META;CASTILLA LA NUEVA;50;50150;2019-10-10T00:00:00.000;96;16,647; 86.000.000.000,00 ;139;28,032
AGPE TECNOEMPAQUES DE OCCIDENTE;Solar;0.1;VALLE DEL CAUCA;CALI;76;76001;2019-12-19T00:00:00.000;480;83; 430.000.000,00 ;1;140
RADAR FAC SAN ANDRÉS;Solar;0.01;ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;SAN ANDRÉS;88;88001;2019-12-30T00:00:00.000;48;8; 43.000.000,00 ;0;14
AGPE SFV MCDONALDS SOLEDAD;Solar;0.09;ATLÁNTICO;SOLEDAD;8;8758;2020-02-27T00:00:00.000;432;75; 387.000.000,00 ;1;126
CELSIA SOLAR ESPINAL;Solar;9.9;TOLIMA;ESPINAL;73;73268;2020-05-31T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
FEDERACIÓN NACIONAL DE CAFETEROS;Solar;0.08;TOLIMA;IBAGUÉ;73;73001;2020-09-02T00:00:00.000;384;67; 344.000.000,00 ;1;112
PANELES SOLARES ISA;Solar;0.25;ANTIOQUIA;MEDELLÍN;5;5001;2020-09-04T00:00:00.000;1.2;208; 1.075.000.000,00 ;2;350
SENA PEDREGAL;Solar;0.2;ANTIOQUIA;MEDELLÍN;5;5001;2020-09-04T00:00:00.000;960;166; 860.000.000,00 ;1;280
UNGUÍA 181 HOGARES + 5 ESCUELAS;Solar;0.15;CHOCÓ;UNGUÍA;27;27800;2020-09-07T00:00:00.000;720;125; 645.000.000,00 ;1;210
BOSQUES SOLARES DE LOS LLANOS 1;Solar;19.9;META;PUERTO GAITÁN;50;50568;2020-09-10T00:00:00.000;95.52;16,564; 85.570.000.000,00 ;139;27,892
BAYUNCA 1;Solar;3;BOLÍVAR;CARTAGENA DE INDIAS;13;13001;2020-09-30T00:00:00.000;14.4;2,497; 12.900.000.000,00 ;21;4,205
PLASTICEL (AUTOCONSUMO);Solar;1.5;VALLE DEL CAUCA;YUMBO;76;76892;2020-10-01T00:00:00.000;7.2;1,249; 6.450.000.000,00 ;10;2,102
UTP;Solar;0.6;RISARALDA;PEREIRA;66;66001;2020-10-15T00:00:00.000;2.88;499; 2.580.000.000,00 ;4;841
AEROPUERTO;Solar;0.55;RISARALDA;PEREIRA;66;66001;2020-10-15T00:00:00.000;2.64;458; 2.365.000.000,00 ;4;771
UKUMARI;Solar;0.23;RISARALDA;PEREIRA;66;66001;2020-10-15T00:00:00.000;1.104;191; 989.000.000,00 ;2;322
VIVA CERRITOS;Solar;0.21;RISARALDA;PEREIRA;66;66001;2020-10-15T00:00:00.000;1.008;175; 903.000.000,00 ;1;294
CENTRO COMERCIAL VICTORIA;Solar;0.21;RISARALDA;PEREIRA;66;66001;2020-10-15T00:00:00.000;1.008;175; 903.000.000,00 ;1;294
CENTRO COMERCIAL ALCIDES ARÉVALO;Solar;0.04;RISARALDA;PEREIRA;66;66001;2020-10-15T00:00:00.000;192;33; 172.000.000,00 ;0;56
LICEO PINO VERDE;Solar;0.03;RISARALDA;PEREIRA;66;66001;2020-10-15T00:00:00.000;144;25; 129.000.000,00 ;0;42
PÉTALO DE CÓRDOBA;Solar;9.9;CÓRDOBA;PLANETA RICA;23;23555;2020-11-07T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
CARMELO;Solar;9.9;VALLE DEL CAUCA;CANDELARIA;76;76130;2020-12-30T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
BOSQUES SOLARES DE LOS LLANOS 2;Solar;19.9;META;PUERTO GAITÁN;50;50568;2020-12-31T00:00:00.000;95.52;16,564; 85.570.000.000,00 ;139;27,892
BOSQUES SOLARES DE LOS LLANOS 3;Solar;19.9;META;PUERTO GAITÁN;50;50568;2020-12-31T00:00:00.000;95.52;16,564; 85.570.000.000,00 ;139;27,892
GRUPO SEB;Solar;1.4;ANTIOQUIA;RIONEGRO;5;5615;2020-12-31T00:00:00.000;6.72;1,165; 6.020.000.000,00 ;10;1,962
AUTOGENERACIÓN PINTUCO;Solar;1.74;ANTIOQUIA;RIONEGRO;5;5615;2021-01-26T00:00:00.000;8.352;1,448; 7.482.000.000,00 ;12;2,439
SOL DE INIRÍDA;Solar;2.25;GUAINÍA;INÍRIDA;94;94001;2021-02-17T00:00:00.000;10.8;1,873; 9.675.000.000,00 ;16;3,154
EL SOL BRILLA PARA UNGUIA;Solar;0.87;CHOCÓ;UNGUÍA;27;27800;2021-02-18T00:00:00.000;4.176;724; 3.741.000.000,00 ;6;1,219
COMPLEJO CENTRAL;Solar;0.17;ANTIOQUIA;MEDELLÍN;5;5001;2021-03-31T00:00:00.000;816;142; 731.000.000,00 ;1;238
PUERTO DE CARTAGENA;Solar;2.2;BOLÍVAR;CARTAGENA DE INDIAS;13;13001;2021-03-31T00:00:00.000;10.56;1,831; 9.460.000.000,00 ;15;3,084
JOHNSON & JOHNSON;Solar;1;VALLE DEL CAUCA;YUMBO;76;76892;2021-03-31T00:00:00.000;4.8;832; 4.300.000.000,00 ;7;1,402
ESSA GD Y AG (385 Proyectos);Solar;6.54;SANTANDER;BARRANCABERMEJA;68;68081;2022-05-31T00:00:00.000;31.392;5,444; 28.122.000.000,00 ;46;9,166
CHEC GD Y AG (184 Proyectos);Solar;4.54;CALDAS;MANIZALES;17;17001;2022-05-31T00:00:00.000;21.792;3,779; 19.522.000.000,00 ;32;6,363
GRANJA SOLAR BELMONTE;Solar;5.06;RISARALDA;PEREIRA;66;66001;2021-04-30T00:00:00.000;24.288;4,212; 21.758.000.000,00 ;35;7,092
CENTRO DE LA INDUSTRIA LA EMPRESA Y LOS SERVICIOS - SEDE INDUSTRIA HUILA;Solar;0.06;HUILA;NEIVA;41;41001;2021-07-15T00:00:00.000;288;50; 258.000.000,00 ;0;84
CENTRO DE GESTIÓN Y DESARROLLO AGROINDUSTRIAL DE ARAUCA;Solar;0.15;ARAUCA;ARAUCA;81;81001;2021-07-15T00:00:00.000;720;125; 645.000.000,00 ;1;210
AFINIA GD Y AG (167 Proyectos);Solar;9.83;CÓRDOBA;MONTERÍA;23;23001;2022-05-31T00:00:00.000;47.184;8,182; 42.269.000.000,00 ;68;13,778
EBSA GD Y AG (53 Proyectos);Solar;1.32;BOYACÁ;TUNJA;15;15001;2022-05-31T00:00:00.000;6.336;1,099; 5.676.000.000,00 ;9;1,85
EPM GD Y AG (1469 Proyectos);Solar;23.92;ANTIOQUIA;MEDELLÍN;5;5001;2022-05-31T00:00:00.000;114.816;19,91; 102.856.000.000,00 ;166;33,526
CELSIA GD Y AG (286 Proyectos);Solar;8.38;VALLE DEL CAUCA;CALI;76;76001;2022-05-31T00:00:00.000;40.224;6,975; 36.034.000.000,00 ;58;11,745
ENEL GD Y AG (331 PROYECTOS);Solar;10.28;BOGOTÁ D.C.;BOGOTÁ D.C.;11;11001;2021-07-22T00:00:00.000;49.344;8,557; 44.204.000.000,00 ;72;14,408
CENS GD Y AG (165 Proyectos);Solar;2.39;NORTE DE SANTANDER;SAN JOSÉ DE CÚCUTA;54;54001;2022-05-31T00:00:00.000;11.472;1,989; 10.277.000.000,00 ;17;3,35
ENERCA GD Y AG;Solar;1.26;CASANARE;YOPAL;85;85001;2021-07-22T00:00:00.000;6.048;1,049; 5.418.000.000,00 ;9;1,766
AIRE GD Y AG;Solar;12.1;ATLÁNTICO;BARRANQUILLA;8;8001;2021-07-22T00:00:00.000;58.08;10,072; 52.030.000.000,00 ;84;16,959
LA PAILA;Solar;9.9;VALLE DEL CAUCA;ZARZAL;76;76895;2021-08-07T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
LA SIERPE SOLAR;Solar;19.9;SUCRE;SAN BENITO ABAD;70;70678;2021-08-31T00:00:00.000;95.52;16,564; 85.570.000.000,00 ;139;27,892
SAN FERNANDO;Solar;61;META;CASTILLA LA NUEVA;50;50150;2021-10-22T00:00:00.000;292.8;50,775; 262.300.000.000,00 ;425;85,498
COMPLEJO SOLAR RELIANZ CAT;Solar;1.85;ATLÁNTICO;GALAPA;8;8296;2021-11-25T00:00:00.000;8.88;1,54; 7.955.000.000,00 ;13;2,593
ZONA FRANCA LA CAYENA;Solar;1.8;ATLÁNTICO;BARRANQUILLA;8;8001;2021-11-25T00:00:00.000;8.64;1,498; 7.740.000.000,00 ;13;2,523
COMPLEJO SUR BOGOTÁ;Solar;0.3;BOGOTÁ D.C.;BOGOTÁ D.C.;11;11001;2021-12-10T00:00:00.000;1.44;250; 1.290.000.000,00 ;2;420
CEO GD Y AG (34 Proyectos);Solar;10.02;CAUCA;POPAYÁN;19;19001;2022-05-31T00:00:00.000;48.096;8,34; 43.086.000.000,00 ;70;14,044
EDEQ GD Y AG (64 Proyectos);Solar;1.13;QUINDÍO;ARMENIA;63;63001;2022-05-31T00:00:00.000;5.424;941; 4.859.000.000,00 ;8;1,584
ELECTROHUILA GD Y AG (125 Proyectos);Solar;2.35;HUILA;NEIVA;41;41001;2022-05-31T00:00:00.000;11.28;1,956; 10.105.000.000,00 ;16;3,294
GR PARQUE SOLAR TUCANES;Solar;9.9;BOLÍVAR;CARTAGENA DE INDIAS;13;13001;2022-05-31T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
PARQUE EÓLICO GUAJIRA I;Eólico;19.9;LA GUAJIRA;URIBIA;44;44847;2021-12-31T00:00:00.000;191.04;33,128; 85.570.000.000,00 ;55;55,784
LA LOMA SOLAR (ENEL GREEN POWER);Solar;170;CESAR;EL PASO;20;20250;2021-12-31T00:00:00.000;816;141,503; 731.000.000.000,00 ;1,183;238,272
DELPHI HELIOS 1 Fase 1;Solar;9.9;META;VILLAVICENCIO;50;50001;2022-02-23T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
Comando Aéreo No.1 de Palanquero;Solar;1.2;CALDAS;LA DORADA;17;17380;2022-03-06T00:00:00.000;21;4; 5.160.000.000,00 ;8;6
BOSQUES SOLARES DE LOS LLANOS 4;Solar;19.9;META;PUERTO GAITÁN;50;50568;2022-05-31T00:00:00.000;95.52;16,564; 85.570.000.000,00 ;139;27,892
BOSQUES SOLARES DE LOS LLANOS 5;Solar;17.9;META;PUERTO GAITÁN;50;50568;2022-05-31T00:00:00.000;85.92;14,899; 76.970.000.000,00 ;125;25,089
CABRESTERO;Solar;3;CASANARE;VILLANUEVA;85;85440;2022-04-15T00:00:00.000;14.4;2,497; 12.900.000.000,00 ;21;4,205
LA MEDINA;Solar;9.9;TOLIMA;ARMERO;73;73055;2022-07-31T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
LOS CABALLEROS;Solar;9.9;TOLIMA;ARMERO;73;73055;2022-07-31T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
CERRITOS;Solar;9.9;TOLIMA;SAN SEBASTIÁN DE MARIQUITA;73;73443;2022-07-31T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
LA TOLUA;Solar;19.9;CÓRDOBA;CHINÚ;23;23182;2023-03-02T00:00:00.000;95.52;16,564; 74.625.000.000,00 ;139;27,892
TIERRA LINDA;Solar;9.9;CÓRDOBA;CHINÚ;23;23182;2023-03-02T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
CSF SAN FELIPE (TRINA SOLAR);Solar;90;TOLIMA;ARMERO;73;73055;2023-06-01T00:00:00.000;432;74,913; 337.500.000.000,00 ;626;126,144
ALMA SOLAR I;Solar;9.8;ARAUCA;ARAUCA;81;81001;2023-09-30T00:00:00.000;47.04;8,157; 9.800.000,00 ;68;13,736
SINCÉ;Solar;19.9;SUCRE;SAN LUIS DE SINCÉ;70;70742;2022-07-31T00:00:00.000;95.52;16,564; 85.570.000.000,00 ;139;27,892
PLANETA RICA;Solar;19.9;CÓRDOBA;PLANETA RICA;23;23555;2022-12-31T00:00:00.000;95.52;16,564; 74.625.000.000,00 ;139;27,892
CSF CARTAGO (TRINA SOLAR);Solar;99;VALLE DEL CAUCA;CARTAGO;76;76147;2023-07-01T00:00:00.000;475.2;82,405; 371.250.000.000,00 ;689;138,758
GRANJA SOLAR KAIROS I;Solar;19.9;NORTE DE SANTANDER;SAN JOSÉ DE CÚCUTA;54;54001;2023-06-30T00:00:00.000;95.52;16,564; 74.625.000.000,00 ;139;27,892
GRANJA SOLAR KAIROS II;Solar;19.9;NORTE DE SANTANDER;SAN JOSÉ DE CÚCUTA;54;54001;2023-06-30T00:00:00.000;95.52;16,564; 74.625.000.000,00 ;139;27,892
GRANJA SOLAR KAIROS III;Solar;19.9;NORTE DE SANTANDER;SAN JOSÉ DE CÚCUTA;54;54001;2023-06-30T00:00:00.000;95.52;16,564; 74.625.000.000,00 ;139;27,892
PÉTALO DEL MAGDALENA I;Solar;9.9;MAGDALENA;ZONA BANANERA;47;47980;2023-12-31T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
ATLANTICO SOLAR 1 (BARANOA);Solar;19.3;ATLÁNTICO;BARANOA;8;8078;2022-12-31T00:00:00.000;92.64;16,065; 72.375.000.000,00 ;134;27,051
ATLANTICO SOLAR 2 (POLO NUEVO);Solar;9.9;ATLÁNTICO;POLONUEVO;8;8558;2022-12-31T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
DELPHI HELIOS 1 Fase 2;Solar;6.1;META;VILLAVICENCIO;50;50001;2022-11-30T00:00:00.000;29.28;5,077; 22.875.000.000,00 ;42;8,55
CAMPANO (TRINA SOLAR);Solar;99.9;CÓRDOBA;CHINÚ;23;23182;2023-09-30T00:00:00.000;479.52;83,154; 374.625.000.000,00 ;695;140,02
WESP01;Eólico;12;LA GUAJIRA;URIBIA;44;44847;2022-08-05T00:00:00.000;115.2;19,977; 51.600.000.000,00 ;33;33,638
PARQUE SOLAR BADEL;Solar;8.6;BOLÍVAR;ARJONA;13;13052;2023-12-31T00:00:00.000;41.28;7,158; 32.250.000.000,00 ;60;12,054
PARQUE SOLAR CORDOBITA;Solar;9.9;MAGDALENA;CIÉNAGA;47;47189;2023-03-31T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
BRISAS – YAGUARÁ – AIPE;Solar;26;HUILA;YAGUARÁ;41;41885;2022-12-31T00:00:00.000;124.8;21,642; 97.500.000.000,00 ;181;36,442
DEL RIO Y MAGDALENA (CASABE - CANTAGALLO);Solar;6;BOLÍVAR;CANTAGALLO;13;13160;2023-12-31T00:00:00.000;28.8;4,994; 22.500.000.000,00 ;42;8,41
OCELOTE;Solar;14;META;PUERTO GAITÁN;50;50568;2999-12-31T00:00:00.000;67.2;11,653; 52.500.000.000,00 ;97;19,622
BETHA (EDPR);Eólico;270;LA GUAJIRA;MAICAO;44;44430;2022-09-30T00:00:00.000;2.592.000;449,48; 1.012.500.000.000,00 ;751;756,864
ALPHA (EDPR);Eólico;212;LA GUAJIRA;MAICAO;44;44430;2022-12-31T00:00:00.000;2.035.200;352,925; 795.000.000.000,00 ;589;594,278
MELGAR PARTE 2;Solar;5.94;TOLIMA;MELGAR;73;73449;2022-11-30T00:00:00.000;28.512;4,944; 22.275.000.000,00 ;41;8,326
ANDALUCÍA;Solar;9.9;VALLE DEL CAUCA;ANDALUCÍA;76;76036;2023-04-06T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
PÉTALO DE CÓRDOBA II;Solar;9.9;CÓRDOBA;CHINÚ;23;23182;2023-03-01T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
PARQUE FOTOVOLTAICO SGDE;Solar;9.9;ATLÁNTICO;MALAMBO;8;8433;2023-04-30T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
PARQUE FOTOVOLTAICO JUMI;Solar;9.9;ATLÁNTICO;GALAPA;8;8296;2023-04-30T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
PARQUE FOTOVOLTAICO PN1;Solar;9.9;BOLÍVAR;ARJONA;13;13052;2023-04-30T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
PARQUE FOTOVOLTAICO CRLI 1;Solar;9.9;ATLÁNTICO;MANATÍ;8;8436;2023-04-30T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
PARQUE FOTOVOLTAICO OLD-T;Solar;9.9;SUCRE;SAN JOSÉ DE TOLUVIEJO;70;70823;2023-04-30T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
YUMA PARTE 2;Solar;6.93;TOLIMA;FLANDES;73;73275;2023-01-16T00:00:00.000;33.264;5,768; 25.987.500.000,00 ;48;9,713
FLANDES PARTE 2;Solar;13.93;TOLIMA;FLANDES;73;73275;2023-01-16T00:00:00.000;66.864;11,595; 52.237.500.000,00 ;97;19,524
DULIMA PARTE 2;Solar;13.93;TOLIMA;FLANDES;73;73275;2023-01-16T00:00:00.000;66.864;11,595; 52.237.500.000,00 ;97;19,524
PARQUE SOLAR LA VICTORIA 1 Y 2 (2X19 9) PARTE 2;Solar;21.89;VALLE DEL CAUCA;ZARZAL;76;76895;2023-04-25T00:00:00.000;105.072;18,221; 82.087.500.000,00 ;152;30,681
DULIMA PARTE 2;Solar;13.93;TOLIMA;FLANDES;73;73275;2023-01-16T00:00:00.000;66.864;11,595; 52.237.500.000,00 ;97;19,524
DULIMA PARTE 1;Solar;5.97;TOLIMA;FLANDES;73;73275;2022-07-31T00:00:00.000;28.656;4,969; 22.387.500.000,00 ;42;8,368
PARQUE SOLAR LA VICTORIA 1 Y 2 (2X19 9) PARTE 2;Solar;21.89;VALLE DEL CAUCA;ZARZAL;76;76895;2023-04-25T00:00:00.000;105.072;18,221; 82.087.500.000,00 ;152;30,681
PARQUE SOLAR LA VICTORIA 1 Y 2 (2X19 9) PARTE 1;Solar;17.91;VALLE DEL CAUCA;ZARZAL;76;76895;2022-07-31T00:00:00.000;85.968;14,908; 67.162.500.000,00 ;125;25,103
SAN ISIDRO;Solar;19.09;CAUCA;PUERTO TEJADA;19;19573;2023-07-31T00:00:00.000;91.632;15,89; 71.587.500.000,00 ;133;26,757
RUBIALES;Solar;87;META;PUERTO GAITÁN;50;50568;2023-11-30T00:00:00.000;417.6;72,416; 326.250.000.000,00 ;606;121,939
CHICAMOCHA (1-3);Solar;59.7;SANTANDER;LOS SANTOS;68;68418;2023-06-30T00:00:00.000;286.56;49,692; 223.875.000.000,00 ;416;83,676
PUERTA DE ORO Fase 1;Solar;120;CUNDINAMARCA;GUADUAS;25;25320;2999-12-31T00:00:00.000;576;99,884; 450.000.000.000,00 ;835;168,192
GUAYEPO FASE I;Solar;200;ATLÁNTICO;SABANALARGA;8;8638;2023-05-31T00:00:00.000;960;166,474; 750.000.000.000,00 ;1,392;280,32
CORONA GIRARDOTA;Solar;3.69;ANTIOQUIA;GIRARDOTA;5;5308;2023-01-29T00:00:00.000;17.712;3,071; 13.837.500.000,00 ;26;5,172
CETESA SUESCA;Solar;4.22;CUNDINAMARCA;SUESCA;25;25772;2023-01-29T00:00:00.000;20.256;3,513; 15.825.000.000,00 ;29;5,915
CORONA SOPO;Solar;4;CUNDINAMARCA;SOPÓ;25;25758;2023-01-29T00:00:00.000;19.2;3,329; 15.000.000.000,00 ;28;5,606
CORONA MADRID;Solar;4;CUNDINAMARCA;MADRID;25;25430;2023-01-29T00:00:00.000;19.2;3,329; 15.000.000.000,00 ;28;5,606
ETERNIT SOACHA;Solar;0.94;CUNDINAMARCA;SOACHA;25;25754;2023-01-29T00:00:00.000;4.512;782; 3.525.000.000,00 ;7;1,318
CLUB LAGARTOS;Solar;0.1;BOGOTÁ D.C.;BOGOTÁ D.C.;11;11001;2023-01-29T00:00:00.000;480;83; 375.000.000,00 ;1;140
GASEOSAS LUX;Solar;1.8;BOGOTÁ D.C.;BOGOTÁ D.C.;11;11001;2023-01-29T00:00:00.000;8.64;1,498; 6.750.000.000,00 ;13;2,523
CENTRAL CERVECERA SESQUILÉ;Solar;3.5;CUNDINAMARCA;SESQUILÉ;25;25736;2023-01-29T00:00:00.000;16.8;2,913; 13.125.000.000,00 ;24;4,906
CARVAJAL GINEBRA;Solar;4.15;VALLE DEL CAUCA;GINEBRA;76;76306;2023-01-29T00:00:00.000;19.92;3,454; 15.562.500.000,00 ;29;5,817
ÉXITO CALI;Solar;0.61;VALLE DEL CAUCA;CALI;76;76001;2023-01-29T00:00:00.000;2.928;508; 2.287.500.000,00 ;4;855
ÉXITO POPAYÁN;Solar;0.3;CAUCA;POPAYÁN;19;19001;2023-01-29T00:00:00.000;1.44;250; 1.125.000.000,00 ;2;420
POSTOBON MALAMBO;Solar;5.5;ATLÁNTICO;MALAMBO;8;8433;2023-01-29T00:00:00.000;26.4;4,578; 20.625.000.000,00 ;38;7,709
HIPINTO PIEDECUESTA;Solar;1.3;SANTANDER;PIEDECUESTA;68;68547;2023-01-29T00:00:00.000;6.24;1,082; 4.875.000.000,00 ;9;1,822
WINDPESHI;Eólico;195.03;LA GUAJIRA;MAICAO;44;44430;2024-01-01T00:00:00.000;1.872.288;324,674; 731.363.000.000,00 ;542;546,708
SOL DE GAMARRITA 1-3;Solar;45;CESAR;AGUACHICA;20;20011;2023-02-09T00:00:00.000;216;37,457; 168.750.000.000,00 ;313;63,072
CASA ELÉCTRICA (AES);Eólico;176.3;LA GUAJIRA;URIBIA;44;44847;2024-01-01T00:00:00.000;1.692.480;293,494; 661.125.000.000,00 ;490;494,204
APOTOLORRU (AES);Eólico;75;LA GUAJIRA;URIBIA;44;44847;2024-01-01T00:00:00.000;720;124,855; 281.250.000.000,00 ;209;210,24
PV LA MATA;Solar;80;CESAR;LA GLORIA;20;20383;2023-12-31T00:00:00.000;384;66,59; 344.000.000.000,00 ;557;112,128
PV LA UNIÓN;Solar;100;CÓRDOBA;MONTERÍA;23;23001;2023-12-31T00:00:00.000;480;83,237; 375.000.000.000,00 ;696;140,16
PÉTALO DEL CESAR II;Solar;19.9;NORTE DE SANTANDER;LA ESPERANZA;54;54385;2024-02-29T00:00:00.000;95.52;16,564; 74.625.000.000,00 ;139;27,892
PÉTALO DEL CESAR I;Solar;9.9;CESAR;CHIRIGUANÁ;20;20178;2024-02-29T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
SEBASTOSOL;Solar;700;SANTANDER;CIMITARRA;68;68190;2023-12-31T00:00:00.000;3.360.000;582,659; 2.625.000.000.000,00 ;4,872;981,12
BOSQUES SOLARES DE BOLÍVAR (5X19.9);Solar;99.5;ATLÁNTICO;SABANALARGA;8;8638;2023-12-31T00:00:00.000;477.6;82,821; 373.125.000.000,00 ;693;139,459
AQUASOL;Solar;1.5;CÓRDOBA;"""""";23;23;2022-10-31T00:00:00.000;7.2;1,249; 5.625.000.000,00 ;10;2,102
CARACOLÍ I;Solar;50;ATLÁNTICO;MALAMBO;8;8433;2023-08-31T00:00:00.000;240;41,618; 187.500.000.000,00 ;348;70,08
PARQUE EÓLICO VIENTOS DE GALERAZAMBA;Eólico;9.9;BOLÍVAR;SANTA CATALINA;13;13673;2024-01-01T00:00:00.000;95.04;16,481; 37.125.000.000,00 ;28;27,752
GUAYEPO FASE II;Solar;200;ATLÁNTICO;SABANALARGA;8;8638;2023-12-31T00:00:00.000;960;166,474; 750.000.000.000,00 ;1,392;280,32
SIERRA;Solar;200;ANTIOQUIA;PUERTO NARE;5;5585;2023-05-12T00:00:00.000;960;166,474; 750.000.000.000,00 ;1,392;280,32
TEPUY;Solar;83;CALDAS;LA DORADA;17;17380;2023-07-31T00:00:00.000;398.4;69,087; 311.250.000.000,00 ;578;116,333
SHANGRI-LA;Solar;160;TOLIMA;IBAGUÉ;73;73001;2023-06-30T00:00:00.000;768;133,179; 600.000.000.000,00 ;1,114;224,256
CHEMESKY (ENEL GREEN POWER);Eólico;98.85;LA GUAJIRA;URIBIA;44;44847;2024-01-01T00:00:00.000;948.96;164,56; 370.688.000.000,00 ;275;277,096
PUERTA DE ORO Fase 2;Solar;180;CUNDINAMARCA;GUADUAS;25;25320;2999-12-31T00:00:00.000;864;149,827; 675.000.000.000,00 ;1,253;252,288
ACACIAS 2 (CELSIA);Eólico;80;LA GUAJIRA;MAICAO;44;44430;2023-11-01T00:00:00.000;768;133,179; 300.000.000.000,00 ;222;224,256
TUMAWIND (ENEL GREEN POWER);Eólico;197.77;LA GUAJIRA;URIBIA;44;44847;2024-01-01T00:00:00.000;1.898.592;329,236; 741.638.000.000,00 ;550;554,389
CAMELIA (CELSIA);Eólico;250;LA GUAJIRA;URIBIA;44;44847;2023-12-01T00:00:00.000;2.400.000;416,185; 937.500.000.000,00 ;695;700,8
ESCOBAL 1 AL 5;Solar;99.5;TOLIMA;ALVARADO;73;73026;2023-12-31T00:00:00.000;477.6;82,821; 373.125.000.000,00 ;693;139,459
Parque Fotovoltaico Sunnorte;Solar;35;NORTE DE SANTANDER;"""""";54;54;2023-12-31T00:00:00.000;168;29,133; 131.250.000.000,00 ;244;49,056
Pubenza PSR2;Solar;50;BOGOTÁ D.C.;BOGOTÁ D.C.;11;11001;2023-12-31T00:00:00.000;240;41,618; 187.500.000.000,00 ;348;70,08
SABANALARGA;Solar;200;ATLÁNTICO;SABANALARGA;8;8638;2024-04-09T00:00:00.000;960;166,474; 750.000.000.000,00 ;1,392;280,32
PARQUE SOLAR FOTOVOLTAICO FUNDACIÓN;Solar;99;MAGDALENA;FUNDACIÓN;47;47288;2024-06-30T00:00:00.000;475.2;82,405; 371.250.000.000,00 ;689;138,758
TULUÁ;Solar;13.3;VALLE DEL CAUCA;TULUÁ;76;76834;2022-04-30T00:00:00.000;63.84;11,071; 57.190.000.000,00 ;93;18,641
Parque Fotovoltaico Montelíbano Solar;Solar;9.9;CÓRDOBA;"""""";23;23;2022-10-30T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
BUGA 1 PARTE 2;Solar;5.94;VALLE DEL CAUCA;"""""";76;76;2022-12-31T00:00:00.000;28.512;4,944; 22.275.000.000,00 ;41;8,326
BUGA 1 PARTE 1;Solar;3.96;VALLE DEL CAUCA;"""""";76;76;2022-07-31T00:00:00.000;19.008;3,296; 14.850.000.000,00 ;28;5,55
REFINERÍA GRB;Solar;21;SANTANDER;BARRANCABERMEJA;68;68081;2023-12-31T00:00:00.000;100.8;17,48; 78.750.000.000,00 ;146;29,434
EMSA GD Y AG (34 Proyectos);Solar;1.9;META;VILLAVICENCIO;50;50001;2022-05-31T00:00:00.000;9.12;1,582; 8.170.000.000,00 ;13;2,663
ENELAR GD Y AG (4 Proyectos);Solar;0.11;ARAUCA;ARAUCA;81;81001;2022-05-31T00:00:00.000;528;92; 473.000.000,00 ;1;154
